Membership No  Date Joined  Active  
    42413      2017-2-8     no    
    90577      2015-7-2     no    
    68216      2017-4-4     no    
    31470      2020-10-16   yes   
    48908      2019-2-24    no    
    39816      2019-2-8     no    
    27994      2016-1-20    no    
    96777      2019-1-12    yes   
    38038      2017-6-9     no    
    40815      2016-3-5     yes   
    32004      2017-11-1    yes   
    65624      2020-12-15   no    
    96863      2016-8-9     yes   
    12338      2015-7-11    yes   
    67425      2018-6-7     no    
    13314      2016-7-7     no    
    81381      2020-11-6    yes   
    28222      2019-7-23    yes   
    11938      2015-10-17   no    
    58644      2017-9-23    no    
