Membership No  Date Joined  Active  
    89051      2016-9-5     yes   
    53394      2017-1-1     yes   
    13326      2018-9-23    yes   
    39804      2018-2-9     no    
    60561      2020-4-10    yes   
    60709      2015-3-3     no    
    38336      2017-9-13    yes   
    84126      2016-8-17    yes   
    62577      2020-8-15    yes   
    58640      2017-7-10    yes   
    20017      2018-9-7     yes   
    20440      2018-9-18    no    
    44128      2018-8-10    no    
    48223      2016-11-15   no    
    60103      2016-9-10    yes   
    89774      2015-11-5    no    
    11232      2017-1-6     yes   
    85637      2020-1-11    no    
    79140      2017-6-18    no    
    47444      2016-10-5    no    
